Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards
327.0,Jordan Ford,Tulsa,American,8.0,56.0,288.0,5.1,0.0,36.0,5.0,24.0,4.8,2.0,3.0,61.0,312.0,5.1,2.0,
328.0,Seth Henigan*,Memphis,American,13.0,146.0,287.0,2.0,4.0,22.1,0.0,0.0,,0.0,0.0,146.0,287.0,2.0,4.0,
329.0,Cam Porter,Northwestern,Big Ten,12.0,87.0,286.0,3.3,2.0,23.8,7.0,50.0,7.1,0.0,4.2,94.0,336.0,3.6,2.0,
330.0,Kaidon Salter*,Liberty,Ind,8.0,69.0,285.0,4.1,2.0,35.6,0.0,0.0,,0.0,0.0,69.0,285.0,4.1,2.0,
331.0,Kevin Davis*,Miami (OH),MAC,13.0,54.0,285.0,5.3,2.0,21.9,19.0,143.0,7.5,0.0,11.0,73.0,428.0,5.9,2.0,
332.0,Justin Lynch,Northern Illinois,MAC,9.0,64.0,280.0,4.4,3.0,31.1,0.0,0.0,,0.0,0.0,64.0,280.0,4.4,3.0,
333.0,Jutahn McClain*,Kentucky,SEC,10.0,59.0,278.0,4.7,0.0,27.8,18.0,100.0,5.6,1.0,10.0,77.0,378.0,4.9,1.0,
334.0,Trevion Cooley*,Louisville,ACC,7.0,59.0,278.0,4.7,2.0,39.7,9.0,66.0,7.3,1.0,9.4,68.0,344.0,5.1,3.0,
335.0,Kavosiey Smoke*,Kentucky,SEC,12.0,59.0,277.0,4.7,1.0,23.1,3.0,30.0,10.0,0.0,2.5,62.0,307.0,5.0,1.0,
336.0,Garrett Greene,West Virginia,Big 12,9.0,45.0,276.0,6.1,5.0,30.7,4.0,32.0,8.0,0.0,3.6,49.0,308.0,6.3,5.0,
337.0,Reynaldo Flores,UTEP,CUSA,12.0,38.0,276.0,7.3,5.0,23.0,49.0,536.0,10.9,1.0,44.7,87.0,812.0,9.3,6.0,
338.0,Jaylen Anderson,West Virginia,Big 12,6.0,35.0,275.0,7.9,2.0,45.8,1.0,15.0,15.0,0.0,2.5,36.0,290.0,8.1,2.0,
339.0,Anthony Hankerson,Colorado,Pac-12,8.0,68.0,274.0,4.0,3.0,34.3,5.0,24.0,4.8,0.0,3.0,73.0,298.0,4.1,3.0,
