player_name,bakery_RB_ensemble,pos,birth_date,team,conf,draft_year,Draft Capital,breakout_year,Breakout Age,ADJ%,BTT%,Break%,CC%,CTPRR,Comp%,DAA,DOM+,DOM+.1,Drop Rate,EPA/P,MTF/A,PDOM+,PDOM+.1,RDOM+,RDOM+.1,TWP%,UCTPRR,Y/RR,YAC/R,YCO/A,YPA,YPC,YPR,aDOT,aYPTPA,ELU,Speed,BMI,SpeedxBMI,bakery_RB_rb_model_seed12_subs20_seed12,bakery_RB_rb_model_seed12_subs30_seed12,bakery_RB_rb_model_seed12_subs40_seed12,bakery_RB_rb_model_seed34_subs20_seed34,bakery_RB_rb_model_seed34_subs30_seed34,bakery_RB_rb_model_seed34_subs40_seed34,bakery_RB_rb_model_seed56_subs20_seed56,bakery_RB_rb_model_seed56_subs30_seed56,bakery_RB_rb_model_seed56_subs40_seed56
Josh Robinson,3.9536025257169944,RB,1991-01-08,Georgia Tech,ACC,2015,6,2014.0,23.647,,,,,,,,0.067,0.063,,,,0.0,0.0,0.388,0.369,,,,,,,,,,,94.2,4.7,32.991,155.0577,3.627300893615177,3.627300893615177,3.627300893615177,4.386532245889053,4.386532245889053,4.26211876079804,3.888445599343759,3.888445599343759,3.888445599343759
RJ Harvey,3.9476846498388607,RB,2001-02-04,UCF,Big 12,2025,2,2023.0,22.571,,,,,,,,0.163,0.155,,,,0.004,0.004,0.598,0.568,,,,,,,,,,,,4.4,31.167,137.1348,3.6268884896234295,3.6268884896234295,3.6268884896234295,4.421686607336445,4.421686607336445,4.088171782991667,3.905650460671634,3.905650460671634,3.905650460671634
Stevan Ridley,3.945350471082899,RB,1989-01-27,LSU,SEC,2011,3,2010.0,21.593,,,,,,,,0.015,0.015,,,,0.0,0.0,0.496,0.496,,,,,,,,,,,,4.65,31.378,145.9077,3.59019873653785,3.59019873653785,3.59019873653785,4.544674021462198,4.544674021462198,4.17509605189179,3.8243713117721168,3.8243713117721168,3.8243713117721168
Jawhar Jordan,3.943911258156654,RB,1999-08-18,Louisville,ACC,2024,6,2022.0,23.039,,,,,,,,0.06,0.057,,,,0.0,0.0,0.435,0.414,,,,,,,,,,,60.0,4.56,27.69,126.2664,3.969653245685311,3.969653245685311,3.969653245685311,4.0080682991294,4.0080682991294,3.820818452182992,3.916428845304052,3.916428845304052,3.916428845304052
Jason Snelling,3.9041504240440847,RB,1983-12-29,Virginia,ACC,2007,7,2006.0,22.675,,,,,,,,0.075,0.071,,,,0.0,0.0,0.614,0.583,,,,,,,,,,,,,,,3.6017578025333044,3.6017578025333044,3.6017578025333044,4.281852601146167,4.281852601146167,4.106755330014057,3.887206625496819,3.887206625496819,3.887206625496819
Johnny White,3.8965995214633704,RB,1988-02-03,North Carolina,ACC,2011,5,2010.0,22.576,,,,,,,,0.042,0.04,,,,0.0,0.0,0.415,0.394,,,,,,,,,,,,4.5,29.985,134.9325,3.5530385849420956,3.5530385849420956,3.5530385849420956,4.36289521427003,4.36289521427003,4.122733865316554,3.8539185481624783,3.8539185481624783,3.8539185481624783
Rodney Anderson,3.868313111266301,RB,1980-11-19,Oklahoma,Big 12,2019,6,2017.0,36.783,,,,,,,,0.081,0.077,,,,0.0,0.0,0.387,0.368,,,,,,,,,,,66.4,4.577,30.377,139.035529,3.541733274410972,3.541733274410972,3.541733274410972,4.237653039970099,4.237653039970099,4.101294015267921,3.8710060276518914,3.8710060276518914,3.8710060276518914
Michael Cox,3.863498888700097,RB,1988-11-14,Missouri,SEC,2013,7,2012.0,23.797,,,,,,,,0.014,0.014,,,,0.0,0.0,0.636,0.636,,,,,,,,,,,,,,,3.516602587320847,3.516602587320847,3.516602587320847,4.237653039970099,4.237653039970099,4.0847562799076815,3.887206625496819,3.887206625496819,3.887206625496819
Cameron Artis-Payne,3.863368623633169,RB,1990-06-23,Auburn,SEC,2015,5,2014.0,24.192,,,,,,,,0.025,0.025,,,,0.0,0.0,0.445,0.445,,,,,,,,,,,60.5,4.53,30.416,137.78448,3.541733274410972,3.541733274410972,3.541733274410972,4.237653039970099,4.237653039970099,4.072903929959399,3.865635926522004,3.865635926522004,3.865635926522004
Leon Washington,3.851483441447641,RB,1982-08-29,Florida State,ACC,2006,4,2005.0,23.009,,,,,,,,0.06,0.057,,,,0.0,0.0,0.251,0.238,,,,,,,,,,,,4.42,30.559,135.07078,3.5530385849420956,3.5530385849420956,3.5530385849420956,4.178861646903684,4.178861646903684,4.0847562799076815,3.8539185481624783,3.8539185481624783,3.8539185481624783
James Davis,3.851339034236444,RB,1979-04-26,Wyoming,MWC,2009,6,2005.0,26.352,,,,,,,,0.032,0.024,,,,0.0,0.0,0.52,0.395,,,,,,,,,,,,4.45,30.402,135.2889,3.516602587320847,3.516602587320847,3.516602587320847,4.216066975688397,4.216066975688397,4.0847562799076815,3.865117771626992,3.865117771626992,3.865117771626992
Kaleb Johnson,3.8230983697101553,RB,1993-02-22,Iowa,Big Ten,2025,3,2022.0,29.522,,,,,,,,0.155,0.155,,,,0.0,0.0,0.65,0.65,,,,,,,,,,,,4.57,29.55,135.04350000000002,3.467883369729638,3.467883369729638,3.467883369729638,4.178861646903684,4.178861646903684,4.0847562799076815,3.8539185481624783,3.8539185481624783,3.8539185481624783
Rhamondre Stevenson,3.788794031710427,RB,1998-02-23,Oklahoma,Big 12,2021,4,2020.0,22.522,,,,,,,,0.03,0.029,,,,0.0,0.0,0.298,0.283,,,,,,,,,,,140.6,4.64,32.214,149.47295999999997,3.3081929340120824,3.3081929340120824,3.3081929340120824,4.323093926000437,4.323093926000437,4.10733598178938,3.80701454985578,3.80701454985578,3.80701454985578
Doug Martin,3.763762737527672,RB,1989-01-13,Boise State,MWC,2012,1,2011.0,22.631,,,,,,,,0.054,0.041,,,,0.0,0.0,0.549,0.417,,,,,,,,,,,,4.46,32.928,146.85888,3.3081929340120824,3.3081929340120824,3.3081929340120824,4.276002483774628,4.276002483774628,4.157236553451395,3.7466814382373816,3.7466814382373816,3.7466814382373816
Shonn Greene,3.71908754769672,RB,1985-08-21,Iowa,Big Ten,2009,3,2008.0,23.031,,,,,,,,0.01,0.01,,,,0.0,0.0,0.71,0.71,,,,,,,,,,,,4.55,32.568,148.18439999999998,3.3081929340120824,3.3081929340120824,3.3081929340120824,4.142027654539034,4.142027654539034,4.069358396380508,3.731265140591882,3.731265140591882,3.731265140591882
