player_name,bakery_QB_ensemble,pos,birth_date,team,conf,draft_year,Draft Capital,breakout_year,Breakout Age,ADJ%,BTT%,Break%,CC%,CTPRR,Comp%,DAA,DOM+,DOM+.1,Drop Rate,EPA/P,MTF/A,PDOM+,PDOM+.1,RDOM+,RDOM+.1,TWP%,UCTPRR,Y/RR,YAC/R,YCO/A,YPA,YPC,YPR,aDOT,aYPTPA,ELU,Speed,BMI,SpeedxBMI,bakery_QB_qb_model_seed12_subs20_seed12,bakery_QB_qb_model_seed12_subs30_seed12,bakery_QB_qb_model_seed12_subs40_seed12,bakery_QB_qb_model_seed34_subs20_seed34,bakery_QB_qb_model_seed34_subs30_seed34,bakery_QB_qb_model_seed34_subs40_seed34,bakery_QB_qb_model_seed56_subs20_seed56,bakery_QB_qb_model_seed56_subs30_seed56,bakery_QB_qb_model_seed56_subs40_seed56
Will Howard,4.235131647293219,QB,2001-09-24,Ohio State,Big Ten,2025,6,2020.0,18.938,,,,,,,,0.0,0.0,,,,0.949,0.949,0.145,0.145,,,,,,,,,,,9.6,4.836,28.724,138.909264,3.368194511132362,4.472892476551724,4.472892476551724,4.059732806478353,4.059732806478353,4.059732806478353,4.541002313989365,4.541002313989365,4.541002313989365
Justin Herbert,4.229294903933437,QB,1998-03-10,Oregon,Pac-12,2020,1,2016.0,18.48,,,,,,,,0.0,0.0,,,,0.963,0.915,0.079,0.075,,,,,,,,,,,0.0,4.68,27.27,127.6236,3.2835264336166508,4.4760535730186515,4.4760535730186515,4.015202689153096,4.015202689153096,4.015202689153096,4.594137496095896,4.594137496095896,4.594137496095896
Trevor Lawrence,4.219360101415327,QB,1999-10-06,Clemson,ACC,2021,1,2018.0,18.905,,,,,,,,0.0,0.0,,,,0.819,0.778,0.177,0.168,,,,,,,,,,,69.6,4.741,25.255,119.73395499999998,3.226129144460523,4.191211600956928,4.191211600956928,4.225547249123379,4.225547249123379,4.225547249123379,4.56301560633114,4.56301560633114,4.56301560633114
Marcus Mariota,4.216445859429857,QB,1993-10-30,Oregon,Pac-12,2015,1,2012.0,18.839,,,,,,,,0.007,0.007,,,,0.96,0.912,0.248,0.235,,,,,,,,,,,46.8,4.52,27.02,122.13039999999998,3.2506394823534905,4.220326960630487,4.220326960630487,4.189224170753611,4.189224170753611,4.189224170753611,4.56301560633114,4.56301560633114,4.56301560633114
Sam Howell,4.199121190319932,QB,2000-09-16,North Carolina,ACC,2022,5,2019.0,18.957,,,,,,,,0.008,0.008,,,,0.95,0.903,0.215,0.204,,,,,,,,,,,35.8,4.785,28.758,137.60703,3.4311149704765396,4.471283087845389,4.471283087845389,3.941692006700387,3.941692006700387,3.941692006700387,4.531111182203636,4.531111182203636,4.531111182203636
Josh Harris,4.1985436740920985,QB,1989-04-27,Wake Forest,ACC,2004,6,2000.0,11.348,,,,,,,,0.021,0.02,,,,0.875,0.831,0.375,0.356,,,,,,,,,,,,4.78,31.397,150.07766,3.452302163312962,4.430225319098267,4.430225319098267,3.991035272279725,3.991035272279725,3.991035272279725,4.500344816160075,4.500344816160075,4.500344816160075
Nate Davis,4.1985436740920985,QB,1996-09-23,Ball State,MAC,2009,5,2006.0,9.938,,,,,,,,0.01,0.007,,,,0.987,0.691,0.169,0.118,,,,,,,,,,,,4.95,29.814,147.57930000000002,3.452302163312962,4.430225319098267,4.430225319098267,3.991035272279725,3.991035272279725,3.991035272279725,4.500344816160075,4.500344816160075,4.500344816160075
Matt Barkley,4.1954910914291155,QB,1990-09-08,USC,Pac-12,2013,4,2009.0,18.982,,,,,,,,0.0,0.0,,,,0.954,0.906,0.034,0.033,,,,,,,,,,,,4.91,29.142,143.08722,3.452302163312962,4.510512278764258,4.510512278764258,3.8955868389188457,3.8955868389188457,3.8955868389188457,4.5331108617546745,4.5331108617546745,4.5331108617546745
Tyrod Taylor,4.188984195154343,QB,1989-08-03,Virginia Tech,ACC,2011,6,2007.0,18.078,,,,,,,,0.0,0.0,,,,0.981,0.932,0.202,0.192,,,,,,,,,,,,4.47,28.627,127.96269,3.2835264336166508,4.374033660019207,4.374033660019207,4.020357180646304,4.020357180646304,4.020357180646304,4.536064153598369,4.536064153598369,4.536064153598369
Max Duggan,4.1782739032083365,QB,2001-03-12,Texas Christian,Big 12,2023,7,2019.0,18.472,,,,,,,,0.0,0.0,,,,0.956,0.908,0.195,0.185,,,,,,,,,,,29.2,4.52,26.574,120.11448,3.226129144460523,4.231307484601395,4.231307484601395,4.041816259218216,4.041816259218216,4.041816259218216,4.596757412519023,4.596757412519023,4.596757412519023
Josh Allen,4.158829111416988,QB,1991-10-30,Wyoming,MWC,2018,1,2003.0,11.838,,,,,,,,0.074,0.057,,,,0.033,0.025,0.029,0.022,,,,,,,,,,,,4.75,28.101,133.47975,3.360278345996022,4.32982182950386,4.32982182950386,3.9430150850869823,3.9430150850869823,3.9430150850869823,4.5268315808294,4.5268315808294,4.5268315808294
Erik Ainge,4.158829111416988,QB,1986-06-12,Tennessee,SEC,2008,5,2004.0,18.223,,,,,,,,0.0,0.0,,,,0.949,0.949,-0.008,-0.008,,,,,,,,,,,,4.98,26.678,132.85644000000002,3.360278345996022,4.32982182950386,4.32982182950386,3.9430150850869823,3.9430150850869823,3.9430150850869823,4.5268315808294,4.5268315808294,4.5268315808294
