Rk,Player,Team,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards
199.0,Shane Boyd,Kentucky,SEC,12.0,15.0,43.0,34.9,205.0,2.0,4.7,2.0,4.7,4.8,3.6,13.7,17.1,81.0,
200.0,Andrew Smith,North Texas,Sun Belt,8.0,13.0,35.0,37.1,187.0,1.0,2.9,4.0,11.4,5.3,0.77,14.4,23.4,68.6,
201.0,C.J. Stephens,North Carolina,ACC,4.0,11.0,18.0,61.1,186.0,1.0,5.6,0.0,0.0,10.3,11.44,16.9,46.5,166.2,
202.0,Floyd Smith,Louisiana-Monroe,Sun Belt,12.0,9.0,22.0,40.9,186.0,2.0,9.1,3.0,13.6,8.5,4.14,20.7,15.5,114.7,
203.0,Hansell Bearden,Troy,Ind,5.0,20.0,48.0,41.7,185.0,0.0,0.0,3.0,6.3,3.9,1.04,9.3,37.0,61.5,
204.0,A.J. Suggs,Georgia Tech,ACC,4.0,15.0,24.0,62.5,180.0,2.0,8.3,2.0,8.3,7.5,5.42,12.0,45.0,136.3,
205.0,Jared Zabransky,Boise State,WAC,9.0,11.0,23.0,47.8,180.0,1.0,4.3,1.0,4.3,7.8,6.74,16.4,20.0,119.2,
206.0,Justin Rascati,Louisville,CUSA,5.0,14.0,24.0,58.3,177.0,1.0,4.2,2.0,8.3,7.4,4.46,12.6,35.4,117.4,
207.0,Nick Noce,Arkansas State,Sun Belt,4.0,8.0,31.0,25.8,176.0,0.0,0.0,7.0,22.6,5.7,-4.48,22.0,44.0,28.3,
208.0,Adam Rothenfluh,Oregon State,Pac-10,6.0,12.0,20.0,60.0,175.0,1.0,5.0,0.0,0.0,8.8,9.75,14.6,29.2,150.0,
209.0,Micah Faler,Akron,MAC,12.0,13.0,25.0,52.0,173.0,0.0,0.0,1.0,4.0,6.9,5.12,13.3,14.4,102.1,
210.0,Steven Moffett,UCF,MAC,3.0,21.0,41.0,51.2,168.0,2.0,4.9,2.0,4.9,4.1,2.88,8.0,56.0,92.0,
211.0,Matt Baker,North Carolina,ACC,3.0,12.0,19.0,63.2,166.0,1.0,5.3,1.0,5.3,8.7,7.42,13.8,55.3,143.4,
212.0,Orlando Evans,Maryland,ACC,5.0,14.0,21.0,66.7,161.0,1.0,4.8,0.0,0.0,7.7,8.62,11.5,32.2,146.8,
213.0,Bennett Swygert,South Carolina,SEC,6.0,11.0,21.0,52.4,160.0,2.0,9.5,1.0,4.8,7.6,7.38,14.5,26.7,138.3,
214.0,Spencer Pennington,Alabama,SEC,4.0,13.0,29.0,44.8,159.0,1.0,3.4,1.0,3.4,5.5,4.62,12.2,39.8,95.4,
215.0,Joel Statham,Maryland,ACC,6.0,12.0,25.0,48.0,156.0,0.0,0.0,1.0,4.0,6.2,4.44,13.0,26.0,92.4,
216.0,Matt Gutierrez,Michigan,Big Ten,11.0,13.0,19.0,68.4,153.0,1.0,5.3,0.0,0.0,8.1,9.11,11.8,13.9,153.4,
217.0,Casey Paus,Washington,Pac-10,6.0,10.0,23.0,43.5,151.0,2.0,8.7,1.0,4.3,6.6,6.35,15.1,25.2,118.6,
218.0,Reggie Nevels,Army,CUSA,3.0,11.0,29.0,37.9,149.0,1.0,3.4,0.0,0.0,5.1,5.83,13.5,49.7,92.5,
219.0,Antwan Smith,Kent State,MAC,12.0,7.0,18.0,38.9,148.0,2.0,11.1,0.0,0.0,8.2,10.44,21.1,12.3,144.6,
220.0,Anthony Martinez,Virginia,ACC,3.0,17.0,36.0,47.2,136.0,1.0,2.8,2.0,5.6,3.8,1.83,8.0,45.3,77.0,
221.0,Santino Riccio,Missouri,Big 12,12.0,13.0,23.0,56.5,134.0,2.0,8.7,1.0,4.3,5.8,5.61,10.3,11.2,125.5,
222.0,Bobby Robison,Memphis,CUSA,5.0,11.0,21.0,52.4,130.0,0.0,0.0,0.0,0.0,6.2,6.19,11.8,26.0,104.4,
223.0,Cedric Stevens,Toledo,MAC,6.0,21.0,32.0,65.6,129.0,0.0,0.0,1.0,3.1,4.0,2.63,6.1,21.5,93.2,
224.0,Kole McKamey,New Mexico,MWC,13.0,10.0,23.0,43.5,128.0,2.0,8.7,3.0,13.0,5.6,1.43,12.8,9.8,92.8,
225.0,John Stocco,Wisconsin,Big Ten,3.0,10.0,17.0,58.8,123.0,0.0,0.0,0.0,0.0,7.2,7.24,12.3,41.0,119.6,
226.0,Micheal Spurlock,Ole Miss,SEC,2.0,7.0,8.0,87.5,118.0,2.0,25.0,0.0,0.0,14.8,19.75,16.9,59.0,293.9,
227.0,Joe Dailey,Nebraska,Big 12,8.0,9.0,14.0,64.3,117.0,2.0,14.3,2.0,14.3,8.4,4.79,13.0,14.6,153.1,
228.0,Adam Fitch,Air Force,MWC,6.0,9.0,14.0,64.3,112.0,1.0,7.1,0.0,0.0,8.0,9.43,12.4,18.7,155.1,
229.0,Mike Sanford Jr.,Boise State,WAC,11.0,6.0,13.0,46.2,108.0,1.0,7.7,0.0,0.0,8.3,9.85,18.0,9.8,141.3,
230.0,Brian Fisher,South Florida,CUSA,11.0,15.0,23.0,65.2,107.0,1.0,4.3,1.0,4.3,4.7,3.57,7.1,9.7,109.9,
231.0,Mike Clark,Arkansas State,Sun Belt,6.0,8.0,20.0,40.0,104.0,0.0,0.0,0.0,0.0,5.2,5.2,13.0,17.3,83.7,
232.0,Grant Arnoldink,Central Michigan,MAC,3.0,9.0,21.0,42.9,103.0,1.0,4.8,0.0,0.0,4.9,5.86,11.4,34.3,99.8,
233.0,Todd Mortensen,BYU,MWC,4.0,14.0,46.0,30.4,102.0,0.0,0.0,2.0,4.3,2.2,0.26,7.3,25.5,40.4,
