player_name,pos,birth_date,team,conf,draft_year,Draft Capital,breakout_year,Breakout Age,DOM,DOM+,PDOM,PDOM+,RDOM,RDOM+,ADJ%,aimed_passes,attempts,aDOT,ATT,MTF,big_time_throws,breakaway_attempts,Break%,breakaway_yards,BTT%,REC%,Comp%,completions,CC%,contested_receptions,contested_targets,def_gen_pressures,designed_yards,Drop%,dropbacks,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,ELU,10+,FUM,gap_attempts,hit_as_threw,interceptions,passing_snaps,pressure_to_sack_rate,qb_rating,rec_yards,receptions,route_rate,routes,run_plays,sack_percent,sacks,scramble_yards,scrambles,Slot%,slot_snaps,targets,total_touches,turnover_worthy_plays,TWP%,Wide%,wide_snaps,yards_after_catch,YAC/R,yards_after_contact,Y/REC,YCO/A,ypa,Y/RR,zone_attempts,Speed,BMI,SpeedxBMI
Mark Jones,WR,1980-11-03,Tennessee,SEC,2004,7,,,0.181,0.181,0.0,0.0,0.018,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adimchinobe Echemandu,RB,1980-11-21,California,Pac-10,2004,7,2000.0,19.778,0.025,0.015,0.0,0.0,0.486,0.291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sloan Thomas,WR,1981-12-22,Texas,Big 12,2004,7,,,0.169,0.16,0.0,0.0,-0.001,-0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,26.78,120.51
Jonathan Smith,WR,1981-11-28,Washington State,Pac-10,2004,7,2000.0,18.76,0.186,0.112,0.001,0.001,0.028,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.78,27.833,133.04174
Patrick Crayton,WR,1979-04-07,DAL,,2004,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cody Pickett,QB,1980-06-30,Washington,Pac-10,2004,7,2001.0,21.172,-0.0,-0.0,0.953,0.572,0.031,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.79,29.12,139.4848
Casey Bramlet,QB,1981-04-02,Wyoming,MWC,2004,7,2001.0,20.416,-0.0,-0.0,0.978,0.744,0.138,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quincy Wilson,RB,1981-04-26,West Virginia,Big East,2004,7,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,33.223,152.8258
Jeff Dugan,TE,1981-04-08,Maryland,ACC,2004,7,,,0.114,0.108,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,32.01,160.04999999999998
Matt Mauck,QB,1979-02-12,LSU,SEC,2004,7,2003.0,24.55,0.0,0.0,0.9,0.9,0.039,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.79,29.27,140.2033
