Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 19_level_0
Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards
136.0,David Hood*,Temple,American,13.0,130.0,638.0,4.9,5.0,49.1,25.0,172.0,6.9,1.0,13.2,155.0,810.0,5.2,6.0,
137.0,Jon Hilliman*,Boston College,ACC,13.0,167.0,638.0,3.8,5.0,49.1,24.0,155.0,6.5,2.0,11.9,191.0,793.0,4.2,7.0,
138.0,Duke Catalon*,Houston,American,12.0,149.0,637.0,4.3,8.0,53.1,15.0,86.0,5.7,1.0,7.2,164.0,723.0,4.4,9.0,
139.0,Kyle Hicks*,Texas Christian,Big 12,12.0,139.0,637.0,4.6,4.0,53.1,30.0,291.0,9.7,1.0,24.3,169.0,928.0,5.5,5.0,
140.0,Art Thompkins*,Toledo,MAC,14.0,104.0,629.0,6.0,2.0,44.9,16.0,123.0,7.7,0.0,8.8,120.0,752.0,6.3,2.0,
141.0,Kell Walker*,Army,Ind,12.0,86.0,629.0,7.3,6.0,52.4,5.0,111.0,22.2,0.0,9.3,91.0,740.0,8.1,6.0,
142.0,Darrin Hall,Pitt,ACC,12.0,128.0,628.0,4.9,9.0,52.3,16.0,157.0,9.8,1.0,13.1,144.0,785.0,5.5,10.0,
143.0,Andy Davidson*,Army,Ind,13.0,116.0,627.0,5.4,5.0,48.2,0.0,0.0,,0.0,0.0,116.0,627.0,5.4,5.0,
144.0,Jordan Mims*,Fresno State,MWC,14.0,151.0,627.0,4.2,6.0,44.8,14.0,143.0,10.2,0.0,10.2,165.0,770.0,4.7,6.0,
145.0,Mike Weber*,Ohio State,Big Ten,12.0,101.0,626.0,6.2,10.0,52.2,10.0,94.0,9.4,0.0,7.8,111.0,720.0,6.5,10.0,
146.0,Tre King*,Texas Tech,Big 12,13.0,131.0,623.0,4.8,5.0,47.9,17.0,104.0,6.1,0.0,8.0,148.0,727.0,4.9,5.0,
147.0,Lorenzo Harrison,Maryland,Big Ten,12.0,137.0,622.0,4.5,3.0,51.8,11.0,36.0,3.3,0.0,3.0,148.0,658.0,4.4,3.0,
148.0,Chris High*,Navy,American,11.0,144.0,621.0,4.3,2.0,56.5,0.0,0.0,,0.0,0.0,144.0,621.0,4.3,2.0,
149.0,Jeremy Cox,Old Dominion,CUSA,9.0,147.0,621.0,4.2,4.0,69.0,20.0,176.0,8.8,0.0,19.6,167.0,797.0,4.8,4.0,
150.0,D'Andre Swift*,Georgia,SEC,15.0,81.0,618.0,7.6,3.0,41.2,17.0,153.0,9.0,1.0,10.2,98.0,771.0,7.9,4.0,
151.0,Nick Wilson*,Arizona,Pac-12,11.0,128.0,614.0,4.8,6.0,55.8,1.0,6.0,6.0,0.0,0.5,129.0,620.0,4.8,6.0,
152.0,Izzy Matthews*,Colorado State,MWC,11.0,132.0,613.0,4.6,8.0,55.7,12.0,140.0,11.7,1.0,12.7,144.0,753.0,5.2,9.0,
153.0,Jordon Brown,North Carolina,ACC,12.0,138.0,613.0,4.4,4.0,51.1,29.0,237.0,8.2,0.0,19.8,167.0,850.0,5.1,4.0,
