Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards
325.0,Darian Green,Ball State,MAC,8.0,57.0,311.0,5.5,1.0,38.9,24.0,124.0,5.2,0.0,15.5,81.0,435.0,5.4,1.0,
326.0,Tyler Stehling,Rice,CUSA,11.0,101.0,309.0,3.1,4.0,28.1,1.0,27.0,27.0,1.0,2.5,102.0,336.0,3.3,5.0,
327.0,Garrett Smith,Louisiana-Monroe,Sun Belt,8.0,60.0,308.0,5.1,3.0,38.5,1.0,-4.0,-4.0,0.0,-0.5,61.0,304.0,5.0,3.0,
328.0,Mitch Trubisky*,North Carolina,ACC,13.0,93.0,308.0,3.3,5.0,23.7,1.0,8.0,8.0,0.0,0.6,94.0,316.0,3.4,5.0,
329.0,Dru Brown*,Hawaii,MWC,13.0,88.0,306.0,3.5,4.0,23.5,0.0,0.0,,0.0,0.0,88.0,306.0,3.5,4.0,
330.0,Ke'Shawn Vaughn,Illinois,Big Ten,11.0,60.0,301.0,5.0,3.0,27.4,9.0,89.0,9.9,0.0,8.1,69.0,390.0,5.7,3.0,
331.0,Myles Willis*,Boston College,ACC,13.0,49.0,301.0,6.1,1.0,23.2,1.0,8.0,8.0,0.0,0.6,50.0,309.0,6.2,1.0,
332.0,Kani Benoit,Oregon,Pac-12,10.0,51.0,300.0,5.9,3.0,30.0,5.0,33.0,6.6,0.0,3.3,56.0,333.0,5.9,3.0,
333.0,Tyreis Thomas*,South Alabama,Sun Belt,9.0,73.0,300.0,4.1,6.0,33.3,6.0,16.0,2.7,0.0,1.8,79.0,316.0,4.0,6.0,
334.0,Jowan Davis,Rice,CUSA,11.0,71.0,299.0,4.2,4.0,27.2,8.0,45.0,5.6,0.0,4.1,79.0,344.0,4.4,4.0,
335.0,Mark Thompson*,Florida,SEC,12.0,68.0,299.0,4.4,2.0,24.9,4.0,105.0,26.3,1.0,8.8,72.0,404.0,5.6,3.0,
336.0,Marquez Trigg*,Western Kentucky,CUSA,14.0,71.0,298.0,4.2,2.0,21.3,2.0,13.0,6.5,0.0,0.9,73.0,311.0,4.3,2.0,
337.0,Blake Banham*,Eastern Michigan,MAC,9.0,61.0,294.0,4.8,2.0,32.7,7.0,71.0,10.1,0.0,7.9,68.0,365.0,5.4,2.0,
338.0,Patrick Towles*,Boston College,ACC,13.0,115.0,294.0,2.6,4.0,22.6,2.0,25.0,12.5,1.0,1.9,117.0,319.0,2.7,5.0,
339.0,Eric Dungey,Syracuse,ACC,9.0,125.0,293.0,2.3,6.0,32.6,0.0,0.0,,0.0,0.0,125.0,293.0,2.3,6.0,
340.0,Nate Starks,UCLA,Pac-12,10.0,87.0,292.0,3.4,1.0,29.2,8.0,28.0,3.5,0.0,2.8,95.0,320.0,3.4,1.0,
341.0,Hyleck Foster,Marshall,CUSA,11.0,68.0,291.0,4.3,1.0,26.5,15.0,74.0,4.9,1.0,6.7,83.0,365.0,4.4,2.0,
342.0,Gus Edwards*,Miami (FL),ACC,11.0,59.0,290.0,4.9,1.0,26.4,1.0,9.0,9.0,0.0,0.8,60.0,299.0,5.0,1.0,
343.0,Dillion Birden*,Houston,American,12.0,62.0,289.0,4.7,6.0,24.1,7.0,54.0,7.7,1.0,4.5,69.0,343.0,5.0,7.0,
