Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 19_level_0
Rk,Player,Team,Conf,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds,Y/A,TD,Y/G,Plays,Yds,Avg,TD,Awards
398.0,Isaiah Jones*,Southern Mississippi,CUSA,12.0,20.0,331.0,16.6,2.0,27.6,1.0,-2.0,-2.0,0.0,-0.2,21.0,329.0,15.7,2.0,
399.0,Jovon Durante*,West Virginia,Big 12,13.0,35.0,331.0,9.5,2.0,25.5,3.0,15.0,5.0,0.0,1.2,38.0,346.0,9.1,2.0,
400.0,Jalen Harvey,Arizona State,Pac-12,10.0,21.0,330.0,15.7,0.0,33.0,0.0,0.0,,0.0,0.0,21.0,330.0,15.7,0.0,
401.0,Wyatt Houston,Utah State,MWC,12.0,35.0,330.0,9.4,2.0,27.5,0.0,0.0,,0.0,0.0,35.0,330.0,9.4,2.0,
402.0,Ari Werts,Georgia State,Sun Belt,11.0,21.0,329.0,15.7,3.0,29.9,0.0,0.0,,0.0,0.0,21.0,329.0,15.7,3.0,
403.0,Workpeh Kofa,Charlotte,CUSA,12.0,27.0,329.0,12.2,5.0,27.4,0.0,0.0,,0.0,0.0,27.0,329.0,12.2,5.0,
404.0,Tee Goree*,North Texas,CUSA,10.0,36.0,328.0,9.1,2.0,32.8,0.0,0.0,,0.0,0.0,36.0,328.0,9.1,2.0,
405.0,Brandon Childress*,Central Michigan,MAC,11.0,23.0,327.0,14.2,1.0,29.7,0.0,0.0,,0.0,0.0,23.0,327.0,14.2,1.0,
406.0,Chris Murray*,Arkansas State,Sun Belt,12.0,22.0,327.0,14.9,1.0,27.3,0.0,0.0,,0.0,0.0,22.0,327.0,14.9,1.0,
407.0,Speedy Noil*,Texas A&M,SEC,10.0,21.0,325.0,15.5,2.0,32.5,0.0,0.0,,0.0,0.0,21.0,325.0,15.5,2.0,
408.0,Justin Hunt,Marshall,CUSA,10.0,23.0,324.0,14.1,5.0,32.4,0.0,0.0,,0.0,0.0,23.0,324.0,14.1,5.0,
409.0,Kenny Buyers*,North Texas,CUSA,13.0,32.0,324.0,10.1,1.0,24.9,0.0,0.0,,0.0,0.0,32.0,324.0,10.1,1.0,
410.0,Zach Wright,Rice,CUSA,11.0,37.0,324.0,8.8,1.0,29.5,0.0,0.0,,0.0,0.0,37.0,324.0,8.8,1.0,
411.0,Anthony Wales*,Western Kentucky,CUSA,13.0,30.0,323.0,10.8,2.0,24.8,237.0,1621.0,6.8,27.0,124.7,267.0,1944.0,7.3,29.0,
412.0,Johnathan Boone,New Mexico State,Sun Belt,12.0,22.0,323.0,14.7,4.0,26.9,0.0,0.0,,0.0,0.0,22.0,323.0,14.7,4.0,
