player_name,pos,rank,birth_date,team,conf,draft_year,Draft Capital,breakout_year,Breakout Age,DOM,DOM+,PDOM,PDOM+,RDOM,RDOM+,ADJ%,aimed_passes,attempts,aDOT,ATT,MTF,big_time_throws,breakaway_attempts,Break%,breakaway_yards,BTT%,REC%,Comp%,completions,CC%,contested_receptions,contested_targets,def_gen_pressures,designed_yards,Drop%,dropbacks,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,ELU,10+,FUM,gap_attempts,hit_as_threw,interceptions,passing_snaps,pressure_to_sack_rate,qb_rating,rec_yards,receptions,route_rate,routes,run_plays,sack_percent,sacks,scramble_yards,scrambles,Slot%,slot_snaps,targets,total_touches,turnover_worthy_plays,TWP%,Wide%,wide_snaps,yards_after_catch,YAC/R,yards_after_contact,Y/REC,YCO/A,ypa,Y/RR,zone_attempts,Speed,BMI,SpeedxBMI
Hayden Hurst,TE,36.0,1993-08-24,South Carolina,SEC,2018,1,,,0.156,0.156,0.0,0.0,0.041,0.041,,,,8.8,,7.0,,,,,,67.7,,,55.6,5.0,9.0,,,0.0,,0.0,,,,,,0.0,,,4.0,,,,,44.0,83.8,394.0,,,,,,53.8,253.0,65.0,,,,3.4,16.0,288.0,6.5,,12.7,,,1.42,,4.67,30.428,142.09876
Mike Gesicki,TE,46.0,1995-10-03,Penn State,Big Ten,2018,2,2017.0,21.914,0.215,0.215,0.0,0.0,0.0,0.0,,,,9.0,,7.0,,,,,,72.2,,,75.0,9.0,12.0,,,5.0,,3.0,,,,0.0,,0.0,,,4.0,,,,,57.0,87.7,372.0,,,,,,40.6,172.0,79.0,,,,0.7,3.0,263.0,4.6,,9.9,,,1.51,,4.54,29.287,132.96298
Dallas Goedert,TE,17.0,1995-01-03,PHI,,2018,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.764,30.354,144.606456
Mark Andrews,TE,19.0,1995-09-06,Oklahoma,Big 12,2018,3,,,0.18,0.171,0.0,0.0,0.0,0.0,,,,12.9,,8.0,,,,,,70.5,,,59.1,13.0,22.0,,,4.6,,3.0,,,,,,3.0,,,3.0,,,,,62.0,93.8,365.0,,,,,,80.7,314.0,88.0,,,,9.3,36.0,286.0,4.6,,15.5,,,2.63,,4.67,30.354,141.75318
Jordan Akins,TE,75.0,1992-04-19,UCF,American,2018,3,,,0.135,0.115,0.0,0.0,0.0,0.0,,,,10.6,,2.0,,,,,,67.6,,,,0.0,0.0,,,0.0,,0.0,,,,39.4,,0.0,,,1.0,,,,,23.0,79.8,272.0,,,,,,44.3,151.0,34.0,,,,2.3,8.0,127.0,5.5,,15.1,,,1.28,,4.747,31.119,147.721893
Ian Thomas,TE,67.0,1996-06-06,Indiana,Big Ten,2018,4,,,0.159,0.159,0.0,0.0,0.0,0.0,,,,8.0,,0.0,,,,,,73.5,,,0.0,0.0,1.0,,,3.8,,1.0,,,,,,0.0,,,0.0,,,,,25.0,80.4,222.0,,,,,,57.2,158.0,34.0,,,,1.8,5.0,228.0,9.1,,14.8,,,1.67,,4.74,31.523,149.41902000000002
Chris Herndon,TE,100.0,1996-02-23,Kansas State,Big 12,2018,4,,,0.0,0.0,0.0,0.0,-0.0,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.758,30.793,146.513094
Will Dissly,TE,132.0,1996-07-08,Washington,Pac-12,2018,4,,,0.103,0.098,0.0,0.0,0.0,0.0,,,,7.3,,5.0,,,,,,75.0,,,25.0,1.0,4.0,,,0.0,,0.0,,,,,,0.0,,,0.0,,,,,21.0,69.7,207.0,,,,,,27.6,82.0,28.0,,,,2.4,7.0,147.0,7.0,,13.8,,,1.4,,4.87,31.888,155.29456000000002
Durham Smythe,TE,130.0,1995-08-09,Notre Dame,Ind,2018,4,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,3.0,,0.0,,,,,,100.0,,,,0.0,0.0,,,0.0,,0.0,,,,,,0.0,,,0.0,,,,,1.0,50.0,7.0,,,,,,0.0,0.0,1.0,,,,0.0,0.0,4.0,4.0,,7.0,,,1.0,,4.81,29.998,144.29038
Dalton Schultz,TE,194.0,1996-07-11,Stanford,Pac-12,2018,4,,,0.106,0.101,0.0,0.0,0.0,0.0,,,,7.3,,4.0,,,,,,68.8,,,40.0,4.0,10.0,,,0.0,,0.0,,,,,,1.0,,,0.0,,,,,22.0,73.3,250.0,,,,,,31.4,107.0,32.0,,,,0.6,2.0,70.0,3.2,,9.3,,,0.82,,4.75,28.931,137.42225
Troy Fumagalli,TE,103.0,1995-02-17,Wisconsin,Big Ten,2018,5,,,0.184,0.184,0.0,0.0,0.0,0.0,,,,9.1,,1.5,,,,,,67.1,,,42.9,4.5,10.5,,,8.7,,4.5,,,,,,0.0,,,3.0,,,,,46.5,88.65,292.5,,,,,,28.65,94.5,69.5,,,,2.55,8.5,204.0,4.4,,12.1,,,1.925,,4.726,29.287,138.410362
