player_name,pos,Draft Capital,birth_date,breakout_age,Year1,Age1,DOM1,DOM+1,PDOM1,PDOM+1,RDOM1,RDOM+1,Speed1,BMI1,Comp%1,ADJ%1,BTT%1,TWP%1,DAA1,YPA1,EPA/P1,aYPTPA1,elu1,Year2,Age2,DOM2,DOM+2,PDOM2,PDOM+2,RDOM2,RDOM+2,Speed2,BMI2,Comp%2,ADJ%2,BTT%2,TWP%2,DAA2,YPA2,EPA/P2,aYPTPA2,elu2,Year3,Age3,DOM3,DOM+3,PDOM3,PDOM+3,RDOM3,RDOM+3,Speed3,BMI3,Comp%3,ADJ%3,BTT%3,TWP%3,DAA3,YPA3,EPA/P3,aYPTPA3,elu3,Year4,Age4,DOM4,DOM+4,PDOM4,PDOM+4,RDOM4,RDOM+4,Speed4,BMI4,Comp%4,ADJ%4,BTT%4,TWP%4,DAA4,YPA4,EPA/P4,aYPTPA4,birthday_parsed,birthdate_source_url
Brandon Weeden,QB,1.0,1983-10-14,26.88,2008.0,24.88,0.0,0.0,0.001,0.001,0.0,0.0,,,,,,,,,,,,2009.0,25.88,0.004,0.004,0.153,0.145,0.0,0.0,,,,,,,,,,,,2010.0,26.88,-0.008,-0.007,0.948,0.9,0.0,0.0,,,,,,,,,,,,2011.0,27.88,0.002,0.002,0.932,0.885,0.0,0.0,,,,,,,,,,,1983-10-14,https://www.pro-football-reference.com/players/W/WeedBr00.htm
Brett Hundley,QB,5.0,1993-06-15,19.21,2012.0,19.21,0.201,0.191,0.984,0.935,0.0,0.0,,,,,,,,,,,,2013.0,20.21,0.334,0.318,0.95,0.902,0.0,0.0,,,,,,,,,,,,2013.0,20.21,0.021,0.02,0.95,0.902,0.0,0.0,,,,,,,,,,,,2014.0,21.21,0.304,0.289,0.928,0.882,0.0,0.0,,,,,,,,,,,1993-06-15,https://www.pro-football-reference.com/players/H/HundBr00.htm
Brian Brohm,QB,2.0,1985-09-23,,2004.0,18.94,0.0,0.0,0.229,0.161,0.0,0.0,,,,,,,,,,,,2005.0,19.94,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,2005.0,19.94,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,2006.0,20.94,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1985-09-23,https://www.pro-football-reference.com/players/B/BrohBr00.htm
Brian St. Pierre,QB,5.0,1979-11-28,,2000.0,20.76,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,2001.0,21.76,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,2002.0,22.76,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1979-11-28,https://en.wikipedia.org/wiki/Brian_St._Pierre
Brock Osweiler,QB,2.0,1990-11-22,20.77,2009.0,18.78,0.001,0.001,0.107,0.064,0.0,0.0,,,,,,,,,,,,2010.0,19.78,0.04,0.024,0.225,0.135,0.0,0.0,,,,,,,,,,,,2011.0,20.77,0.066,0.063,0.972,0.923,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-11-22,https://www.pro-football-reference.com/players/O/OsweBr00.htm
Brock Purdy,QB,7.0,1999-12-27,18.68,2018.0,18.68,0.174,0.165,0.759,0.721,0.0,0.0,,,,,,,,,,,,2019.0,19.68,0.169,0.16,0.957,0.91,0.0,0.0,,,,,,,,,,,,2020.0,20.68,0.191,0.181,0.95,0.902,0.0,0.0,,,,,,,,,,,,2021.0,21.68,0.057,0.055,0.897,0.852,0.0,0.0,,,,,,,,,,,1999-12-27,https://www.pro-football-reference.com/players/P/PurdBr00.htm
Brodie Croyle,QB,3.0,1983-02-06,20.57,2002.0,19.57,0.125,0.125,0.42,0.42,0.0,0.0,,,,,,,,,,,,2003.0,20.57,0.002,0.002,0.933,0.933,0.0,0.0,,,,,,,,,,,,2004.0,21.57,0.0,0.0,0.43,0.43,0.0,0.0,,,,,,,,,,,,2005.0,22.57,0.001,0.001,0.919,0.919,0.0,0.0,,,,,,,,,,,1983-02-06,https://www.pro-football-reference.com/players/C/CroyBr00.htm
Brooks Bollinger,QB,6.0,1979-11-15,20.8,2000.0,20.8,0.316,0.316,0.63,0.63,0.0,0.0,,,,,,,,,,,,2000.0,20.8,0.006,0.006,0.63,0.63,0.0,0.0,,,,,,,,,,,,2001.0,21.8,0.005,0.005,0.422,0.422,0.0,0.0,,,,,,,,,,,,2001.0,21.8,0.252,0.252,0.422,0.422,0.0,0.0,,,,,,,,,,,1979-11-15,https://www.pro-football-reference.com/players/B/BollBr00.htm
Bruce Gradkowski,QB,6.0,1983-01-27,20.59,2002.0,19.59,0.004,0.003,0.004,0.003,0.0,0.0,,,,,,,,,,,,2003.0,20.59,0.093,0.065,0.981,0.686,0.0,0.0,,,,,,,,,,,,2003.0,20.59,-0.0,-0.0,0.981,0.686,0.0,0.0,,,,,,,,,,,,2004.0,21.6,0.0,0.0,0.936,0.655,0.0,0.0,,,,,,,,,,,1983-01-27,https://www.pro-football-reference.com/players/G/GradBr00.htm
Bryce Petty,QB,4.0,1991-05-31,22.26,2011.0,20.25,0.002,0.002,0.005,0.004,0.0,0.0,,,,,,,,,,,,2012.0,21.26,0.016,0.015,0.026,0.024,0.0,0.0,,,,,,,,,,,,2013.0,22.26,0.222,0.211,0.907,0.862,0.0,0.0,,,,,,,,,,,,2014.0,23.26,0.09,0.085,0.787,0.747,0.0,0.0,,,,,,,,,,,1991-05-31,https://www.pro-football-reference.com/players/P/PettBr01.htm
Bryce Young,QB,1.0,2001-07-25,20.1,2020.0,19.1,-0.002,-0.002,0.029,0.029,0.0,0.0,,,,,,,,,,,,2021.0,20.1,0.031,0.031,0.97,0.97,0.0,0.0,,,,,,,,,,,,2022.0,21.1,0.079,0.079,0.887,0.887,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-07-25,https://www.pro-football-reference.com/players/Y/YounBr01.htm
Byron Leftwich,QB,1.0,1980-01-14,20.63,2000.0,20.63,0.032,0.023,0.906,0.634,0.0,0.0,,,,,,,,,,,,2001.0,21.63,0.014,0.01,0.967,0.677,0.0,0.0,,,,,,,,,,,,2001.0,21.63,0.036,0.025,0.967,0.677,0.0,0.0,,,,,,,,,,,,2002.0,22.63,0.043,0.03,0.873,0.611,0.0,0.0,,,,,,,,,,,1980-01-14,https://www.pro-football-reference.com/players/L/LeftBy00.htm
C.J. Beathard,QB,3.0,1993-11-16,21.79,2013.0,19.79,0.062,0.062,0.061,0.061,0.0,0.0,,,,,,,,,,,,2014.0,20.79,0.025,0.025,0.224,0.224,0.0,0.0,,,,,,,,,,,,2015.0,21.79,0.218,0.218,0.991,0.991,0.0,0.0,,,,,,,,,,,,2016.0,22.79,0.056,0.056,0.984,0.984,0.0,0.0,,,,,,,,,,,1993-11-16,https://www.pro-football-reference.com/players/B/BeatC.00.htm
C.J. Stroud,QB,1.0,2001-10-03,19.91,2020.0,18.91,0.034,0.034,0.0,0.0,0.0,0.0,,,,,,,,,,,,2021.0,19.91,-0.002,-0.002,0.926,0.926,0.0,0.0,,,,,,,,,,,,2022.0,20.91,0.014,0.014,0.964,0.964,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-10-03,https://www.pro-football-reference.com/players/S/StroCJ00.htm
