player,team,year,conference,receiving_yards,receiving_tds,rushing_yards,rushing_tds,passing_yards,passing_tds,DOM,DOM+,RDOM,RDOM+,PDOM,PDOM+,elusive_rating
Eli Mason*,Maryland,2023,BIG TEN,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.0,0.0,55.6
Eli Raridon*,Notre Dame,2023,INDEPENDENT,51.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Eli Sanders*,Iowa State,2023,BIG 12,43.0,1.0,477.0,4.0,0.0,0.0,2.85,2.71,27.8,26.41,0.0,0.0,40.9
Eli Stowers*,New Mexico State,2023,CUSA,366.0,2.0,108.0,2.0,99.0,1.0,9.28,6.5,6.36,4.45,3.33,2.33,
Eli Wilson*,Appalachian State,2023,SUN BELT,350.0,5.0,0.0,0.0,0.0,0.0,11.92,9.06,0.0,0.0,0.0,0.0,
Elic Ayomanor,Stanford,2023,PAC 12,1013.0,6.0,0.0,0.0,0.0,0.0,45.39,43.12,0.0,0.0,0.0,0.0,
Elijah Arroyo*,Miami (FL),2023,ACC,11.0,0.0,0.0,0.0,0.0,0.0,0.16,0.15,0.0,0.0,0.0,0.0,
Elijah Canion,Purdue,2023,BIG TEN,4.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.0,0.0,0.0,
Elijah Collins*,Oklahoma State,2023,BIG 12,19.0,0.0,142.0,2.0,0.0,0.0,0.25,0.24,6.71,6.37,0.0,0.0,
Elijah Davis*,Louisiana,2023,SUN BELT,4.0,0.0,189.0,3.0,0.0,0.0,0.07,0.05,10.14,7.71,0.0,0.0,
Elijah Downing*,Louisville,2023,ACC,7.0,0.0,0.0,0.0,0.0,0.0,0.11,0.1,0.0,0.0,0.0,0.0,
Elijah Gilliam*,Fresno State,2023,MWC,120.0,1.0,397.0,5.0,0.0,0.0,3.36,2.55,30.09,22.87,0.0,0.0,84.6
Elijah Green*,North Carolina,2023,ACC,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.24,0.23,0.0,0.0,
Elijah Jackson-Anderson*,Eastern Michigan,2023,MAC,28.0,1.0,0.0,0.0,0.0,0.0,5.71,4.0,0.0,0.0,0.0,0.0,
Elijah Metcalf,Middle Tennessee State,2023,CUSA,634.0,5.0,5.0,0.0,0.0,0.0,20.8,14.56,0.17,0.12,0.0,0.0,
Elijah Mojarro*,Rice,2023,AMERICAN,52.0,0.0,0.0,0.0,0.0,0.0,0.79,0.67,0.0,0.0,0.0,0.0,
Elijah Sarratt*,James Madison,2023,SUN BELT,1191.0,8.0,1.0,1.0,0.0,0.0,27.2,20.67,2.97,2.26,0.0,0.0,
Elijah Sohn,Sam Houston,2023,CUSA,159.0,2.0,0.0,0.0,0.0,0.0,9.64,6.75,0.0,0.0,0.0,0.0,
Elijah Spencer*,Minnesota,2023,BIG TEN,65.0,3.0,0.0,0.0,0.0,0.0,11.12,11.12,0.0,0.0,0.0,0.0,
Elijah Walton*,Georgia Southern,2023,SUN BELT,7.0,0.0,0.0,0.0,0.0,0.0,0.09,0.07,0.0,0.0,0.0,0.0,
Elijah Wright*,Syracuse,2023,ACC,4.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.0,0.0,0.0,
Elijah Young*,Western Kentucky,2023,CUSA,247.0,3.0,474.0,3.0,0.0,0.0,7.15,5.0,29.8,20.86,0.0,0.0,
Elijhah Badger,Arizona State,2023,PAC 12,713.0,3.0,51.0,1.0,0.0,0.0,32.87,31.23,4.84,4.6,0.0,0.0,149.3
Elliott Nimrod*,Utah State,2023,MWC,0.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,3.15,2.39,0.0,0.0,2200.0
Emani Bailey,Texas Christian,2023,BIG 12,184.0,1.0,1209.0,8.0,0.0,0.0,4.31,4.09,53.66,50.98,0.0,0.0,
Emari White,UTEP,2023,CUSA,132.0,0.0,20.0,0.0,0.0,0.0,2.53,1.77,0.58,0.41,0.0,0.0,
Emeka Egbuka*,Ohio State,2023,BIG TEN,515.0,4.0,25.0,0.0,0.0,0.0,15.05,15.05,0.69,0.69,0.0,0.0,43.5
Emeka Megwa*,Oklahoma,2023,BIG 12,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.13,0.12,0.0,0.0,600.0
Emery Simmons*,Utah,2023,PAC 12,2.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,
Emmanual Stevenson*,Arkansas State,2023,SUN BELT,129.0,2.0,0.0,0.0,0.0,0.0,8.08,6.14,0.0,0.0,0.0,0.0,
Emmanuel Michel*,Air Force,2023,MWC,0.0,0.0,950.0,11.0,0.0,0.0,0.0,0.0,28.26,21.48,0.0,0.0,22.6
Emmett Brown,Washington State,2023,PAC 12,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.17,0.16,
Emmett Johnson,Nebraska,2023,BIG TEN,46.0,0.0,411.0,2.0,0.0,0.0,1.41,1.41,15.93,15.93,0.0,0.0,62.9
