player_name,Year1,DOM1,DOM+1,PDOM1,PDOM+1,RDOM1,RDOM+1,Year2,DOM2,DOM+2,PDOM2,PDOM+2,RDOM2,RDOM+2,Year3,DOM3,DOM+3,PDOM3,PDOM+3,RDOM3,RDOM+3,Year4,DOM4,DOM+4,PDOM4,PDOM+4,RDOM4,RDOM+4
Joe Dailey,2003.0,0.0,0.0,16.61,15.78,0.0,0.0,2004.0,0.0,0.0,99.25,94.29,0.0,0.0,2006.0,0.0,0.0,62.34,59.22,0.0,0.0,2007.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Davis,2019.0,0.0,0.0,0.0,0.0,0.36,0.34,2020.0,0.17,0.16,0.0,0.0,1.33,1.26,2021.0,0.0,0.0,0.0,0.0,0.73,0.69,,,,,,,
Joe Desanzo,2005.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Joe Dineen,2014.0,0.0,0.0,0.1,0.1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Joe Doyle,2021.0,0.0,0.0,0.0,0.0,0.09,0.08,,,,,,,,,,,,,,,,,,,,,
Joe Ervin,2019.0,0.0,0.0,0.0,0.0,3.76,3.57,2021.0,0.23,0.22,0.0,0.0,11.19,10.63,2022.0,0.44,0.31,0.0,0.0,3.08,2.16,,,,,,,
Joe Fagnano,2023.0,0.0,0.0,0.0,0.0,0.0,0.0,2024.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
Joe Fields,2004.0,0.0,0.0,0.0,0.0,0.0,0.0,2005.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
Joe Flacco,2004.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Joe Freedy,2000.0,0.0,0.0,95.3,66.71,0.0,0.0,2001.0,0.0,0.0,96.57,67.6,0.0,0.0,,,,,,,,,,,,,,
Joe Ganz,2006.0,0.0,0.0,6.47,6.15,0.0,0.0,2007.0,0.0,0.0,44.27,42.06,0.0,0.0,2008.0,0.0,0.0,95.13,90.37,0.0,0.0,,,,,,,
Joe Gerena,2000.0,0.0,0.0,32.62,22.83,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Joe Gray,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0,0.0,0.0,72.31,54.96,0.0,0.0,2015.0,0.0,0.0,28.84,21.92,0.0,0.0,,,,,,,
Joe Griffin,2022.0,15.85,15.06,0.0,0.0,0.0,0.0,2023.0,10.61,10.08,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
Joe Hansley,2013.0,0.0,0.0,2.54,1.93,0.0,0.0,2015.0,0.0,0.0,0.59,0.45,0.0,0.0,,,,,,,,,,,,,,
Joe Hewlett,2016.0,0.0,0.0,0.0,0.0,-0.02,-0.02,2018.0,0.0,0.0,0.0,0.0,0.09,0.09,,,,,,,,,,,,,,
Joe Hubener,2014.0,0.0,0.0,5.32,5.05,0.0,0.0,2015.0,0.0,0.0,72.29,68.68,0.0,0.0,2016.0,0.0,0.0,11.74,11.15,2.9,2.76,,,,,,,
Joe Jackson,2023.0,0.0,0.0,0.0,0.0,0.02,0.02,2024.0,3.15,2.99,0.0,0.0,6.43,6.11,,,,,,,,,,,,,,
