player,team,year,conference,receiving_yards,receiving_tds,rushing_yards,rushing_tds,passing_yards,passing_tds,DOM,DOM+,RDOM,RDOM+,PDOM,PDOM+,elusive_rating
Alex Smith*,Utah,2003,MWC,0.0,0.0,0.0,0.0,2247.0,15.0,0.0,0.0,0.0,0.0,87.87,66.78,
Alexander Webb*,Northwestern,2003,BIG TEN,0.0,0.0,0.0,0.0,205.0,0.0,0.0,0.0,0.0,0.0,4.83,4.83,
Andre Caldwell*,Florida,2003,SEC,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.47,0.47,
Andrew Michalowicz*,Navy,2003,INDEPENDENT,0.0,0.0,0.0,0.0,55.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Andrew Smith*,North Texas,2003,SUN BELT,0.0,0.0,0.0,0.0,187.0,1.0,0.0,0.0,0.0,0.0,8.13,6.18,
Andrew Walter,Arizona State,2003,PAC 12,0.0,0.0,0.0,0.0,3044.0,24.0,0.0,0.0,0.0,0.0,94.25,89.54,
Andrico Hines,Middle Tennessee State,2003,SUN BELT,0.0,0.0,0.0,0.0,1742.0,7.0,0.0,0.0,0.0,0.0,51.47,39.12,
Andy Heiser,Nevada,2003,OTHER,0.0,0.0,0.0,0.0,2294.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,
Andy Michalowicz*,Navy,2003,INDEPENDENT,0.0,0.0,0.0,0.0,55.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Andy Roesch,Ball State,2003,MAC,0.0,0.0,0.0,0.0,992.0,8.0,0.0,0.0,0.0,0.0,36.35,25.44,
Anthony Butler,Air Force,2003,MWC,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,3.3,2.51,
Anthony Hackett,Ohio,2003,MAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Anthony Martinez*,Virginia,2003,ACC,0.0,0.0,0.0,0.0,136.0,1.0,0.0,0.0,0.0,0.0,4.22,4.01,
Antwan Smith,Kent State,2003,MAC,0.0,0.0,0.0,0.0,148.0,2.0,0.0,0.0,0.0,0.0,9.06,6.34,
Aries Nelson,Mississippi State,2003,SEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Asad Abdul-Khaliq*,Minnesota,2003,BIG TEN,0.0,0.0,0.0,0.0,2401.0,17.0,0.0,0.0,0.0,0.0,92.17,92.17,
Austen Everson,Ohio,2003,MAC,0.0,0.0,0.0,0.0,491.0,3.0,0.0,0.0,0.0,0.0,29.93,20.95,
Austin Flynn,Iowa State,2003,BIG 12,0.0,0.0,0.0,0.0,1238.0,5.0,0.0,0.0,0.0,0.0,54.17,51.46,
B.J. Symons*,Texas Tech,2003,BIG 12,0.0,0.0,0.0,0.0,5833.0,52.0,0.0,0.0,0.0,0.0,96.26,91.45,
Barry Tolli,Utah State,2003,SUN BELT,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.65,0.49,
Beau Pierce,San Jose State,2003,OTHER,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Ben Roethlisberger*,Miami (OH),2003,MAC,0.0,0.0,0.0,0.0,4486.0,37.0,0.0,0.0,0.0,0.0,95.69,66.98,
Benji Kamrath*,Minnesota,2003,BIG TEN,0.0,0.0,0.0,0.0,250.0,1.0,0.0,0.0,0.0,0.0,7.46,7.46,
Benji Walker,Vanderbilt,2003,SEC,0.0,0.0,0.0,0.0,81.0,1.0,0.0,0.0,0.0,0.0,4.13,4.13,
Bennett Swygert,South Carolina,2003,SEC,0.0,0.0,0.0,0.0,160.0,2.0,0.0,0.0,0.0,0.0,11.78,11.78,
Bill Whittemore*,Kansas,2003,BIG 12,0.0,0.0,0.0,0.0,2385.0,18.0,0.0,0.0,0.0,0.0,71.84,68.25,
Blade Bassler*,Houston,2003,CUSA,0.0,0.0,0.0,0.0,25.0,1.0,0.0,0.0,0.0,0.0,2.32,1.62,
Blain Bech*,LSU,2003,SEC,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.45,0.45,
Blake Ferguson*,Oklahoma,2003,BIG 12,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.27,0.26,
Blayne Baggett,Western Michigan,2003,MAC,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,1.07,0.75,
Bo Freelend,Alabama,2003,SEC,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.22,0.22,
Bobby Robison*,Memphis,2003,CUSA,0.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,1.9,1.33,
Brad Smith*,Missouri,2003,BIG 12,0.0,0.0,0.0,0.0,1977.0,11.0,0.0,0.0,0.0,0.0,85.09,80.84,
