player_name,pos,Draft Capital,birth_date,breakout_age,Year1,Age1,DOM1,DOM+1,PDOM1,PDOM+1,RDOM1,RDOM+1,Speed1,BMI1,YPC1,YCO/A1,MTF/A1,Break%1,elu1,Year2,Age2,DOM2,DOM+2,PDOM2,PDOM+2,RDOM2,RDOM+2,Speed2,BMI2,YPC2,YCO/A2,MTF/A2,Break%2,elu2,Year3,Age3,DOM3,DOM+3,PDOM3,PDOM+3,RDOM3,RDOM+3,Speed3,BMI3,YPC3,YCO/A3,MTF/A3,Break%3,elu3,Year4,Age4,DOM4,DOM+4,PDOM4,PDOM+4,RDOM4,RDOM+4,Speed4,BMI4,YPC4,YCO/A4,MTF/A4,Break%4,birthday_parsed,birthdate_source_url
Benny Snell Jr.,RB,4.0,1998-02-27,18.51,2016.0,18.51,0.608,0.608,0.003,0.003,0.0,0.0,,,,,,,,2016.0,18.51,0.008,0.008,0.003,0.003,0.0,0.0,,,,,,,,2017.0,19.51,0.015,0.015,0.0,0.0,0.0,0.0,,,,,,,,2017.0,19.51,1.222,1.222,0.0,0.0,0.0,0.0,,,,,,,1998-02-27,https://www.pro-football-reference.com/players/S/SnelBe00.htm
Bernard Pierce,RB,3.0,1991-05-10,18.31,2009.0,18.31,0.973,0.681,0.0,0.0,0.0,0.0,,,,,,,,2009.0,18.31,0.01,0.007,0.0,0.0,0.0,0.0,,,,,,,,2010.0,19.31,0.498,0.349,0.0,0.0,0.0,0.0,,,,,,,,2010.0,19.31,0.053,0.037,0.0,0.0,0.0,0.0,,,,,,,1991-05-10,https://www.pro-football-reference.com/players/P/PierBe00.htm
Bernard Scott,RB,6.0,1984-02-10,,2000.0,16.56,0.039,0.039,0.0,0.0,0.0,0.0,,,,,,,,2000.0,16.56,0.006,0.006,0.0,0.0,0.0,0.0,,,,,,,,2001.0,17.56,0.035,0.035,0.0,0.0,0.0,0.0,,,,,,,,2001.0,17.56,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1984-02-10,https://www.pro-football-reference.com/players/S/ScotBe00.htm
Bhayshul Tuten,RB,4.0,2002-02-14,21.54,2023.0,21.54,0.382,0.363,0.0,0.0,0.0,0.0,,,,,,,,2023.0,21.54,0.089,0.085,0.0,0.0,0.0,0.0,,,,,,,,2024.0,22.55,0.735,0.699,0.0,0.0,0.0,0.0,,,,,,,,2024.0,22.55,0.083,0.079,0.0,0.0,0.0,0.0,,,,,,,2002-02-14,https://www.pro-football-reference.com/players/T/TuteBh00.htm
Bijan Robinson,RB,1.0,2002-01-30,19.59,2020.0,18.59,0.188,0.179,0.0,0.0,0.0,0.0,,,,,,,,2020.0,18.59,0.066,0.063,0.0,0.0,0.0,0.0,,,,,,,,2021.0,19.59,0.123,0.117,0.0,0.0,0.0,0.0,,,,,,,,2021.0,19.59,0.398,0.378,0.0,0.0,0.0,0.0,,,,,,,2002-01-30,https://www.pro-football-reference.com/players/R/RobiBi01.htm
Bilal Powell,RB,4.0,1988-10-27,,2007.0,18.84,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,2007.0,18.84,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,2008.0,19.85,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,2008.0,19.85,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1988-10-27,https://www.pro-football-reference.com/players/P/PoweBi00.htm
Bishop Sankey,RB,2.0,1992-09-15,19.96,2011.0,18.96,0.002,0.002,0.0,0.0,0.0,0.0,,,,,,,,2011.0,18.96,0.042,0.04,0.0,0.0,0.0,0.0,,,,,,,,2012.0,19.96,0.045,0.043,0.0,0.0,0.0,0.0,,,,,,,,2012.0,19.96,0.681,0.647,0.0,0.0,0.0,0.0,,,,,,,1992-09-15,https://www.pro-football-reference.com/players/S/SankBi00.htm
Blake Corum,RB,3.0,2000-11-25,20.77,2020.0,19.77,0.137,0.137,0.0,0.0,0.0,0.0,,,,,,,,2020.0,19.77,0.024,0.024,0.0,0.0,0.0,0.0,,,,,,,,2021.0,20.77,0.046,0.046,0.0,0.0,0.0,0.0,,,,,,,,2021.0,20.77,0.411,0.411,0.0,0.0,0.0,0.0,,,,,,,2000-11-25,https://www.pro-football-reference.com/players/C/CoruBl00.htm
Bo Scarbrough,RB,7.0,1994-09-29,21.92,2015.0,20.92,0.038,0.038,0.0,0.0,0.0,0.0,,,,,,,,2016.0,21.92,0.34,0.34,0.0,0.0,0.0,0.0,,,,,,,,2016.0,21.92,0.003,0.003,0.0,0.0,0.0,0.0,,,,,,,,2017.0,22.92,0.02,0.02,0.0,0.0,0.0,0.0,,,,,,,1994-09-29,https://www.pro-football-reference.com/players/S/ScarBo01.htm
Boston Scott,RB,6.0,1995-04-27,,2014.0,19.35,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,2015.0,20.35,0.033,0.023,0.0,0.0,0.0,0.0,,,,,,,,2015.0,20.35,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,2016.0,21.35,0.12,0.084,0.0,0.0,0.0,0.0,,,,,,,1995-04-27,https://www.pro-football-reference.com/players/S/ScotBo02.htm
Braden Wilson,RB,6.0,1989-10-09,,2009.0,19.9,0.002,0.002,0.0,0.0,0.0,0.0,,,,,,,,2009.0,19.9,0.008,0.008,0.0,0.0,0.0,0.0,,,,,,,,2010.0,20.9,0.033,0.031,0.0,0.0,0.0,0.0,,,,,,,,2010.0,20.9,0.014,0.013,0.0,0.0,0.0,0.0,,,,,,,1989-10-09,https://en.wikipedia.org/wiki/Braden_Wilson
Bradie Ewing,RB,5.0,1989-12-26,,2008.0,18.68,0.048,0.048,0.0,0.0,0.0,0.0,,,,,,,,2010.0,20.68,0.033,0.033,0.0,0.0,0.0,0.0,,,,,,,,2010.0,20.68,0.075,0.075,0.0,0.0,0.0,0.0,,,,,,,,2011.0,21.68,0.038,0.038,0.0,0.0,0.0,0.0,,,,,,,1989-12-26,https://www.pro-football-reference.com/players/E/EwinBr00.htm
Braelon Allen,RB,4.0,2004-01-20,17.62,2021.0,17.62,0.009,0.009,0.0,0.0,0.0,0.0,,,,,,,,2021.0,17.62,0.85,0.85,0.0,0.0,0.0,0.0,,,,,,,,2022.0,18.61,0.022,0.022,0.031,0.031,0.0,0.0,,,,,,,,2022.0,18.61,0.522,0.522,0.031,0.031,0.0,0.0,,,,,,,2004-01-20,https://www.pro-football-reference.com/players/A/AlleBr05.htm
Brandon Drumm,RB,7.0,1979-07-12,,2000.0,21.14,0.001,0.001,0.0,0.0,0.0,0.0,,,,,,,,2000.0,21.14,0.002,0.002,0.0,0.0,0.0,0.0,,,,,,,,2001.0,22.14,0.021,0.02,0.0,0.0,0.0,0.0,,,,,,,,2001.0,22.14,0.004,0.004,0.0,0.0,0.0,0.0,,,,,,,1979-07-12,https://en.wikipedia.org/wiki/Aveion_Cason
Brandon Jackson,RB,2.0,1985-10-02,,2004.0,18.92,0.013,0.01,0.0,0.0,0.0,0.0,,,,,,,,2005.0,19.92,0.01,0.009,0.0,0.0,0.0,0.0,,,,,,,,2005.0,19.92,0.001,0.001,0.0,0.0,0.0,0.0,,,,,,,,2005.0,19.92,0.19,0.145,0.0,0.0,0.0,0.0,,,,,,,1985-10-02,https://www.pro-football-reference.com/players/J/JackBr00.htm
Brandon Jacobs,RB,4.0,1982-07-06,21.16,2001.0,19.16,0.002,0.002,0.0,0.0,0.0,0.0,,,,,,,,2002.0,20.16,0.006,0.006,0.0,0.0,0.0,0.0,,,,,,,,2003.0,21.16,0.239,0.239,0.0,0.0,0.0,0.0,,,,,,,,2003.0,21.16,0.007,0.007,0.0,0.0,0.0,0.0,,,,,,,1982-07-06,https://www.pro-football-reference.com/players/J/JacoBr00.htm
Brandon Miree,RB,7.0,1981-04-14,19.38,2000.0,19.38,0.541,0.541,0.0,0.0,0.0,0.0,,,,,,,,2000.0,19.38,0.003,0.003,0.0,0.0,0.0,0.0,,,,,,,,2001.0,20.38,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,2002.0,21.38,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1981-04-14,https://www.pro-football-reference.com/players/M/MireBr00.htm
Brandon Wilson,RB,6.0,1994-07-27,,2015.0,21.1,0.072,0.062,0.0,0.0,0.0,0.0,,,,,,,,2015.0,21.1,0.007,0.006,0.0,0.0,0.0,0.0,,,,,,,,2016.0,22.1,0.001,0.001,0.0,0.0,0.0,0.0,,,,,,,,2016.0,22.1,0.007,0.006,0.0,0.0,0.0,0.0,,,,,,,1994-07-27,https://www.pro-football-reference.com/players/W/WilsBr01.htm
Brashard Smith,RB,7.0,2003-04-11,,2021.0,18.39,0.059,0.056,0.0,0.0,0.0,0.0,,,,,,,,2021.0,18.39,0.003,0.003,0.0,0.0,0.0,0.0,,,,,,,,2022.0,19.39,0.054,0.051,0.0,0.0,0.0,0.0,,,,,,,,2022.0,19.39,0.004,0.004,0.0,0.0,0.0,0.0,,,,,,,2003-04-11,https://www.pro-football-reference.com/players/S/SmitBr09.htm
Breece Hall,RB,2.0,2001-05-31,18.25,2019.0,18.25,0.266,0.253,0.0,0.0,0.0,0.0,,,,,,,,2019.0,18.25,0.048,0.046,0.0,0.0,0.0,0.0,,,,,,,,2020.0,19.26,0.796,0.757,0.0,0.0,0.0,0.0,,,,,,,,2020.0,19.26,0.081,0.077,0.0,0.0,0.0,0.0,,,,,,,2001-05-31,https://www.pro-football-reference.com/players/H/HallBr03.htm
Brian Allen,RB,6.0,1978-04-01,23.42,2000.0,22.42,0.088,0.053,0.0,0.0,0.0,0.0,,,,,,,,2000.0,22.42,0.02,0.012,0.0,0.0,0.0,0.0,,,,,,,,2001.0,23.42,0.011,0.007,0.0,0.0,0.0,0.0,,,,,,,,2001.0,23.42,0.343,0.206,0.0,0.0,0.0,0.0,,,,,,,1978-04-01,https://www.pro-football-reference.com/players/A/AlleBr21.htm
Brian Calhoun,RB,3.0,1984-05-08,19.32,2002.0,18.32,0.049,0.047,0.0,0.0,0.0,0.0,,,,,,,,2002.0,18.32,0.079,0.075,0.0,0.0,0.0,0.0,,,,,,,,2003.0,19.32,0.213,0.203,0.0,0.0,0.0,0.0,,,,,,,,2003.0,19.32,0.058,0.055,0.0,0.0,0.0,0.0,,,,,,,1984-05-08,https://www.pro-football-reference.com/players/C/CalhBr00.htm
