player_name,pos,birth_date,team,conf,draft_year,draft_round,breakout_year,breakout_age,DOM,PDOM,RDOM,Year,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,avoided_tackles,big_time_throws,breakaway_attempts,breakaway_percent,breakaway_yards,btt_rate,caught_percent,completion_percent,completions,contested_catch_rate,contested_receptions,contested_targets,def_gen_pressures,designed_yards,drop_rate,dropbacks,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,fumbles,gap_attempts,hit_as_threw,interceptions,pass_tds,pass_yds,passing_snaps,pressure_to_sack_rate,qb_rating,rec_tds,rec_yards,rec_yds,receptions,route_rate,routes,run_plays,rush_tds,rush_yds,sack_percent,sacks,scramble_yards,scrambles,slot_rate,slot_snaps,targets,team_pr_tds,team_pr_yds,team_ru_tds,team_ru_yds,total_touches,turnover_worthy_plays,twp_rate,wide_rate,wide_snaps,yards_after_catch,yards_after_catch_per_reception,yards_after_contact,yards_per_reception,yco_attempt,ypa,yprr,zone_attempts
Josh Harris,QB,1989-04-27,Wake Forest,ACC,2004,6,2000.0,11.34839151266256,0.0213311340941512,0.875156027104137,0.3751568538874668,2003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,3813.0,,,,1.0,,48.0,,,,,13.0,830.0,,,,,,,,32.0,4206.0,29.0,2748.0,,,,,,,,,,,,,
Troy Fleming,RB,1980-10-01,Tennessee,SEC,2004,6,,,0.0227703984819734,0.0,0.0677056719468574,2002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,120.0,,,,,1.0,162.0,,,,,,,,14.0,2635.0,19.0,1957.0,,,,,,,,,,,,,
Jim Sorgi,QB,1980-12-03,Wisconsin,Big Ten,2004,6,2003.0,22.74332648870637,0.0031768443346276,0.8695042554025963,0.041305292594902,2003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,2251.0,,,,0.0,,18.0,,,,,2.0,-10.0,,,,,,,,18.0,2833.0,23.0,2301.0,,,,,,,,,,,,,
Matt Kranchick,TE,1979-12-13,Penn State,Big Ten,2004,6,,,0.1188430471967057,0.0,0.0,2003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,1.0,,337.0,,,,,0.0,0.0,,,,,,,,11.0,2296.0,14.0,1464.0,,,,,,,,,,,,,
Jeris McIntyre,WR,1981-07-04,Auburn,SEC,2004,6,2003.0,22.16016427104723,0.2742496998799519,0.0,0.0064799331103678,2003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,3.0,,621.0,,,,,0.0,31.0,,,,,,,,10.0,2499.0,32.0,2392.0,,,,,,,,,,,,,
Clarence Moore,WR,1982-09-24,Toledo,MAC,2004,6,2003.0,20.93634496919918,0.4032611497808713,0.0,0.0,2004.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,14.0,,1189.0,,,,,0.0,0.0,,,,,,,,28.0,3879.0,26.0,2091.0,,,,,,,,,,,,,
Jeff Smoker,QB,1981-06-13,Michigan State,Big Ten,2004,6,2000.0,19.21971252566735,0.0031339031339031,0.9836182336182336,0.0541864139020537,2003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,3395.0,,,,0.0,,22.0,,,,,3.0,-116.0,,,,,,,,21.0,3510.0,15.0,1266.0,,,,,,,,,,,,,
John Navarre,QB,1980-09-09,Michigan,Big Ten,2004,7,2001.0,20.97741273100616,0.01217220279720275,0.9573492400073489,0.00797885721422705,2002.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5,3118.0,,,,0.5,,18.0,,,,,1.0,-53.5,,,,,,,,23.5,3273.0,27.0,2108.0,,,,,,,,,,,,,
Mark Jones,WR,1980-11-03,Tennessee,SEC,2004,7,,,0.1809139278651473,0.0,0.0180555555555555,2003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,5.0,,556.0,,,,,0.0,65.0,,,,,,,,28.0,3034.0,16.0,1800.0,,,,,,,,,,,,,
Adimchinobe Echemandu,RB,1980-11-21,California,Pac-10,2004,7,2000.0,19.7782340862423,0.024966261808367,0.0,0.4857506669900558,2003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,185.0,,,,,13.0,1195.0,,,,,,,,28.0,3705.0,28.0,2356.0,,,,,,,,,,,,,
Sloan Thomas,WR,1981-12-22,Texas,Big 12,2004,7,,,0.1685814185814186,0.0,-0.0007700205338809,2001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,5.0,,435.0,,,,,0.0,-3.0,,,,,,,,26.0,3003.0,28.0,1948.0,,,,,,,,,,,,,
Jonathan Smith,WR,1981-11-28,Washington State,Pac-10,2004,7,2000.0,18.759753593429156,0.18587727959221725,0.00109329446064135,0.02768132678407555,2001.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6.0,,,,3.5,,510.0,,,,,0.5,73.0,,,,,,,,17.0,3045.5,23.0,1897.5,,,,,,,,,,,,,
Patrick Crayton,WR,1979-04-07,DAL,,2004,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cody Pickett,QB,1980-06-30,Washington,Pac-10,2004,7,2001.0,21.17180013689254,-0.0004443457009553,0.9532894939623602,0.0310601700272327,2002.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5,3750.5,,,,0.0,,-4.0,,,,,3.0,-123.0,,,,,,,,22.5,3868.5,17.0,1201.0,,,,,,,,,,,,,
Casey Bramlet,QB,1981-04-02,Wyoming,MWC,2004,7,2001.0,20.41615331964408,-8.04893754024e-05,0.9784146125130118,0.138452562007058,2002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,3053.0,,,,0.0,,-0.5,,,,,4.5,-61.0,,,,,,,,16.0,3120.0,13.0,1053.0,,,,,,,,,,,,,
Quincy Wilson,RB,1981-04-26,West Virginia,Big East,2004,7,,,0.0,0.0,0.0,2001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,8.0,,,,,1.0,181.0,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
