Rk,Player,Team,Conf,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds,Y/A,TD,Y/G,Plays,Yds,Avg,TD,Awards
136.0,Greg Lewis,Illinois,Big Ten,11.0,40.0,544.0,13.6,6.0,49.5,0.0,0.0,,0.0,0.0,40.0,544.0,13.6,6.0,
137.0,Bernard Berrian,Fresno State,WAC,9.0,36.0,543.0,15.1,4.0,60.3,1.0,2.0,2.0,0.0,0.2,37.0,545.0,14.7,4.0,
138.0,Teddy Johnson,Northwestern,Big Ten,11.0,29.0,542.0,18.7,6.0,49.3,1.0,5.0,5.0,0.0,0.5,30.0,547.0,18.2,6.0,
139.0,Billy McMullen,Virginia,ACC,11.0,30.0,541.0,18.0,3.0,49.2,0.0,0.0,,0.0,0.0,30.0,541.0,18.0,3.0,
140.0,Frank Rice,Colorado State,MWC,11.0,40.0,541.0,13.5,3.0,49.2,2.0,17.0,8.5,0.0,1.5,42.0,558.0,13.3,3.0,
141.0,Mike Hart,Duke,ACC,11.0,31.0,540.0,17.4,0.0,49.1,0.0,0.0,,0.0,0.0,31.0,540.0,17.4,0.0,
142.0,Herb Haygood,Michigan State,Big Ten,11.0,35.0,539.0,15.4,2.0,49.0,3.0,-4.0,-1.3,0.0,-0.4,38.0,535.0,14.1,2.0,
143.0,Seth Morales,Purdue,Big Ten,11.0,33.0,532.0,16.1,2.0,48.4,1.0,8.0,8.0,0.0,0.7,34.0,540.0,15.9,2.0,
144.0,Channon Harris,Hawaii,WAC,12.0,36.0,530.0,14.7,3.0,44.2,1.0,-11.0,-11.0,0.0,-0.9,37.0,519.0,14.0,3.0,
145.0,Charles Smith,Fresno State,WAC,10.0,33.0,526.0,15.9,6.0,52.6,6.0,48.0,8.0,0.0,4.8,39.0,574.0,14.7,6.0,
146.0,Marcus Wilridge,Louisiana,Ind,11.0,38.0,524.0,13.8,3.0,47.6,2.0,29.0,14.5,0.0,2.6,40.0,553.0,13.8,3.0,
147.0,Corey Brown,Tulsa,WAC,9.0,45.0,522.0,11.6,3.0,58.0,0.0,0.0,,0.0,0.0,45.0,522.0,11.6,3.0,
148.0,Aaron Moorehead,Illinois,Big Ten,11.0,30.0,520.0,17.3,4.0,47.3,0.0,0.0,,0.0,0.0,30.0,520.0,17.3,4.0,
149.0,Brian Scott,South Carolina,SEC,11.0,32.0,520.0,16.3,2.0,47.3,0.0,0.0,,0.0,0.0,32.0,520.0,16.3,2.0,
150.0,Carlos Francis,Texas Tech,Big 12,12.0,41.0,519.0,12.7,2.0,43.3,0.0,0.0,,0.0,0.0,41.0,519.0,12.7,2.0,
151.0,Donte' Stallworth,Tennessee,SEC,11.0,35.0,519.0,14.8,2.0,47.2,2.0,13.0,6.5,0.0,1.2,37.0,532.0,14.4,2.0,
152.0,Cliff Russell,Utah,MWC,8.0,37.0,517.0,14.0,3.0,64.6,1.0,5.0,5.0,0.0,0.6,38.0,522.0,13.7,3.0,
153.0,Scott McCready,South Florida,Ind,11.0,37.0,517.0,14.0,6.0,47.0,0.0,0.0,,0.0,0.0,37.0,517.0,14.0,6.0,
154.0,Corey Alston,Western Michigan,MAC,12.0,29.0,516.0,17.8,5.0,43.0,0.0,0.0,,0.0,0.0,29.0,516.0,17.8,5.0,
155.0,Jerry Dorsey,Indiana,Big Ten,11.0,27.0,514.0,19.0,3.0,46.7,0.0,0.0,,0.0,0.0,27.0,514.0,19.0,3.0,
156.0,Lanier Washington,Marshall,MAC,12.0,40.0,512.0,12.8,2.0,42.7,0.0,0.0,,0.0,0.0,40.0,512.0,12.8,2.0,
157.0,Matt Curry,Kent State,MAC,11.0,35.0,511.0,14.6,2.0,46.5,2.0,-7.0,-3.5,0.0,-0.6,37.0,504.0,13.6,2.0,
158.0,Ty Buxton,Miami (OH),MAC,9.0,42.0,511.0,12.2,2.0,56.8,0.0,0.0,,0.0,0.0,42.0,511.0,12.2,2.0,
159.0,Mike Crawford,Nevada,WAC,9.0,42.0,508.0,12.1,0.0,56.4,2.0,9.0,4.5,0.0,1.0,44.0,517.0,11.8,0.0,
160.0,Luke Powell,Stanford,Pac-10,10.0,18.0,502.0,27.9,3.0,50.2,2.0,-8.0,-4.0,0.0,-0.8,20.0,494.0,24.7,3.0,
161.0,Josh Jelmberg,Idaho,Big West,11.0,44.0,500.0,11.4,1.0,45.5,1.0,1.0,1.0,0.0,0.1,45.0,501.0,11.1,1.0,
162.0,Marcellus Harris,East Carolina,CUSA,10.0,23.0,496.0,21.6,5.0,49.6,6.0,72.0,12.0,0.0,7.2,29.0,568.0,19.6,5.0,
163.0,Ira Williams,Wake Forest,ACC,11.0,45.0,495.0,11.0,2.0,45.0,1.0,-5.0,-5.0,0.0,-0.5,46.0,490.0,10.7,2.0,
164.0,Eric Spencer,Missouri,Big 12,11.0,35.0,493.0,14.1,4.0,44.8,7.0,22.0,3.1,0.0,2.0,42.0,515.0,12.3,4.0,
